epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,246.838,2.09252,1.90691,1.6,0.43099,0.19403,0.21506,0.076,2.53651,2.41741,1.67038,0.000828443,0.000828443,0.000828443
43,252.304,2.07044,1.83641,1.54081,0.30548,0.26866,0.22374,0.06602,2.54599,2.32412,1.72589,0.000820525,0.000820525,0.000820525
44,257.393,2.16003,1.83555,1.55918,0.29765,0.31343,0.19229,0.06261,2.42581,2.25369,1.6633,0.000812468,0.000812468,0.000812468
45,263.724,2.08022,1.86604,1.55269,0.38791,0.31343,0.23462,0.07712,2.59946,2.28282,1.8928,0.000804277,0.000804277,0.000804277
46,268.696,2.08662,1.82416,1.57437,0.31419,0.32836,0.2475,0.08278,2.55112,2.25705,1.79173,0.000795954,0.000795954,0.000795954
47,275.775,2.07145,1.90719,1.6065,0.28664,0.31343,0.20821,0.07179,2.51416,2.5351,1.71309,0.000787503,0.000787503,0.000787503
48,280.019,2.11271,1.86971,1.53577,0.24506,0.22388,0.1423,0.04078,2.61801,2.67474,1.779,0.000778929,0.000778929,0.000778929
49,286.455,2.09077,1.82135,1.50873,0.35903,0.31343,0.26944,0.08953,2.44688,2.15668,1.67551,0.000770234,0.000770234,0.000770234
50,292.094,2.08809,1.76416,1.5335,0.32511,0.26866,0.22645,0.06751,2.49506,2.11274,1.73092,0.000761423,0.000761423,0.000761423
51,297.963,2.07533,1.78258,1.5277,0.26406,0.29851,0.21279,0.06331,2.50252,2.14506,1.79263,0.0007525,0.0007525,0.0007525
52,303.427,2.03803,1.74631,1.49172,0.28,0.28358,0.22548,0.07423,2.48839,2.06194,1.7823,0.000743468,0.000743468,0.000743468
53,309.292,2.04445,1.76656,1.57277,0.28107,0.37313,0.24915,0.08018,2.50268,2.10726,1.77863,0.000734332,0.000734332,0.000734332
